,String,etc,Author,Title,Journal,Year,Volume,Release,Start page,End page,Link
0,"Альфонсова Е. В. Изменение некоторых показателей системы гемостаза при лактат-ацидозе // Фундаментальные исследования. – 2013. – Т. 2, № 5. https://doi.org/10.18093/0869-0189-2014-0-6-108-114.",// – – 5.,Альфонсова Е. В.,Изменение некоторых показателей системы гемостаза при лактат-ацидозе,Фундаментальные исследования.,2013.,"Т. 2,",№,-,-,-
1,"Аметов А. С., Соловьева О. Л. Нарушения в системе гемостаза при сахарном диабете и пути их коррекции при назначении комбинированной терапии Диабетоном МВ и метформином // Сахарный диабет. – 2007. – Т. 10, № 3. – С. 33–39. https://doi.org/10.14341/2072-0351-5995.",// – – – С.,"Аметов А. С., Соловьева О. Л.",Нарушения в системе гемостаза при сахарном диабете и пути их коррекции при назначении комбинированной терапии Диабетоном МВ и метформином,Сахарный диабет.,2007. 3.,"Т. 10,",№,-,33–39.,-
2,"Ананьев Е. П., Полупан А. А., Мацковский И. В. и др. Использование режима IntelliVent-ASV для поддержания целевого диапазона EtCO2 у пациентов с тяжелой ЧМТ // Вопросы нейрохирургии. – 2017. – № 5. – С. 63–68. DOI:10.17116/neiro201781563. https://doi.org/10.17116/neiro201781563",и др. // – – № – С.,"Ананьев Е. П., Полупан А. А., Мацковский И. В.",Использование режима IntelliVent-ASV для поддержания целевого диапазона EtCO2 у пациентов с тяжелой ЧМТ,Вопросы нейрохирургии. 63–68.,2017. 5.,-,-,-,DOI:10.17116/neiro201781563.,-
3,"Андреенко А. А., Долбнева Е. Л., Стамов В. И. Обеспечение проходимости верхних дыхательных путей в стационаре. Клинические рекомендации Федерации анестезиологов-реаниматологов России (второй пересмотр, 2018 г.) // Вестник интенсивной терапии им. А. И. Салтанова. – 2019. – Т. 2. – C. 7–31. DOI: 10.21320/1818-474X-2019-2-7-31.",стационаре. г.) им. – – Т. – C. DOI:,"Андреенко А. А., Долбнева Е. Л., Стамов В. И. 2018 //","Обеспечение проходимости верхних дыхательных путей в Клинические рекомендации Федерации анестезиологов-реаниматологов России пересмотр, интенсивной терапии",(второй Вестник А. И. Салтанова. 2. 7–31.,2019.,-,-,-,-,10.21320/1818-474X-2019-2-7-31.
4,"Андрейченко С. А., Бычинин М. В., Коршунов Д. И. и др. Синдром приобретенной в ОРИТ слабости у больных с дыхательной недостаточностью // Клиническая практика. – 2021. – Vol. 12, № 2. – P. 5–13. doi:10.17816/clinpract72074.",и др. // – – – P.,"Андрейченко С. А., Бычинин М. В., Коршунов Д. И.",Синдром приобретенной в ОРИТ слабости у больных с дыхательной недостаточностью,Клиническая практика. 5–13.,2021. 2.,"Vol. 12,",№,-,-,doi:10.17816/clinpract72074.
5,"Афанасьев Б. В., Зубаровская Л. С., Моисеев И. С. Аллогенная трансплантация гемопоэтических стволовых клеток у детей: настоящее, проблемы, перспективы // Российский журнал детской гематологии и онкологии (РЖДГиО). – 2015. – Т. 2, № 2. – С. 28–42. – doi: 10.17650/2311-1267-2015-2-2-28-42.",// – – – С. – doi:,"Афанасьев Б. В., Зубаровская Л. С., Моисеев И. С.","Аллогенная трансплантация гемопоэтических стволовых клеток у детей: настоящее, проблемы, перспективы журнал детской гематологии и онкологии",Российский (РЖДГиО). 28–42.,2015. 2.,"Т. 2,",№,-,-,10.17650/2311-1267-2015-2-2-28-42.
6,"Афуков И. И., Степаненко С. М., Михельсон В. А. Искусственная вентиляция легких методом управляемого давления и гарантированного объема у новорожденных // Общая реаниматология. - 2005. - Т. 1, № 6. - С. 33-37. Doi:10.15360/1813-9779-2005-6-33-37.",// - - - С.,"Афуков И. И., Степаненко С. М., Михельсон В. А.",Искусственная вентиляция легких методом управляемого давления и гарантированного объема у новорожденных,Общая реаниматология.,2005.,"Т. 1,",№ 6.,-,33-37.,Doi:10.15360/1813-9779-2005-6-33-37.
7,"Багненко С. Ф., Миннуллин И. П., Мирошниченко А. Г. Направления совершенствования организации скорой, в том числе скорой специализированной, медицинской помощи, специализированной медицинской помощи в экстренной и неотложной формах и медицинской эвакуации в субъекте Российской Федерации // Вестн. Росздравнадзора. – 2019. – № 3. – С. 70–74. Doi: 10.35576/article_5d135f4a728e49.79827942.",// – – № – С. Doi:,"Багненко С. Ф., Миннуллин И. П., Мирошниченко А. Г.","Направления совершенствования организации скорой, в том числе скорой специализированной, медицинской помощи, специализированной медицинской помощи в экстренной и неотложной формах и медицинской эвакуации в субъекте Российской Федерации",Вестн. Росздравнадзора. 70–74.,2019. 3.,-,-,-,-,10.35576/article_5d135f4a728e49.79827942.
8,"Баздырев Е. Д., Поликутина О. М., Каличенко Н. А. Кардиореспираторные послеоперационные осложнения у пациентов с ишемической болезнью сердца после планового коронарного шунтирования: связь с функцией легких // Патология кровообращения и кардиохирургия. – 2017. – Т. 21, № 2. – С. 85–97. doi.org/10.21688/1681–3472–2017–2–85–97.",// – – – С.,"Баздырев Е. Д., Поликутина О. М., Каличенко Н. А.",Кардиореспираторные послеоперационные осложнения у пациентов с ишемической болезнью сердца после планового коронарного шунтирования: связь с функцией легких кровообращения и,Патология кардиохирургия. 85–97.,2017. 2.,"Т. 21,",№,-,-,doi.org/10.21688/1681–3472–2017–2–85–97.
9,"Бакиров Б. А., Сахаутдинова И. В., Марон А. Д. Особенности системы гемостаза у беременных с осложненным акушерским анамнезом // Креативная хирургия и онкология. – 2018. – Т. 8, № 2. – С. 125–129. https://doi.org/10.24060/2076-3093-2018-8-2-41-45.",// – – – С.,"Бакиров Б. А., Сахаутдинова И. В., Марон А. Д.",Особенности системы гемостаза у беременных с осложненным акушерским анамнезом хирургия и,Креативная онкология.,2018. 2.,"Т. 8,",№,-,125–129.,-
10,"Баутин А. Е., Ксендикова А. В., Белолипецкий С. С. и др. О возможности использования фармакологических индексов для прогнозирования течения послеоперационного периода кардиохирургических вмешательств // Вестник интенсивной терапии им. А. И. Салтанова. – 2019. – № 2. – С. 66–74. doi: 10.21320/1818-474X-2019-2-66-74.",и др. // им. – – № – С. doi:,"Баутин А. Е., Ксендикова А. В., Белолипецкий С. С.",О возможности использования фармакологических индексов для прогнозирования течения послеоперационного периода кардиохирургических вмешательств интенсивной терапии,Вестник А. И. Салтанова. 66–74.,2019. 2.,-,-,-,-,10.21320/1818-474X-2019-2-66-74.
11,"Баутин А. Е., Ксендикова А. В., Белолипецкий С. С. и др. О возможности использования фармакологических индексов для прогнозирования течения послеоперационного периода кардиохирургических вмешательств // Вестник интенсивной терапии им. А. И. Салтанова. – 2019. – № 2. – С. 66–74. https://doi.org/10.21320/1818-474X-2019-2-66-74.",и др. // им. – – № – С.,"Баутин А. Е., Ксендикова А. В., Белолипецкий С. С.",О возможности использования фармакологических индексов для прогнозирования течения послеоперационного периода кардиохирургических вмешательств интенсивной терапии,Вестник А. И. Салтанова.,2019. 2.,-,-,-,66–74.,-
12,"Бахарев С. А., Попугаев К. А., Киселев К. В. и др. Механизмы развития геморрагических осложнений при проведении экстракорпоральной мембранной оксигенации. Пилотное исследование // Анестезиология и реаниматология. – 2020. – № 1. – С. 25–34. doi:10.17116/anaesthesiology202001125.",и др. оксигенации. // – – № – С.,"Бахарев С. А., Попугаев К. А., Киселев К. В.",Механизмы развития геморрагических осложнений при проведении экстракорпоральной мембранной Пилотное исследование,Анестезиология и реаниматология. 25–34.,2020. 1.,-,-,-,-,doi:10.17116/anaesthesiology202001125.
13,"Белобородов В. Б. , Гусаров В. Г. , Дехнич А. В. и др. Диагностика и антимикробная терапия инфекций, вызванных полирезистентными микроорганизмами. Методические рекомендации Российская некоммерческая общественная организация «анестезиолый Ассоциация в-р еаниматологи», Межрегиональная общественная организация «Альянс клинических химиотерапевтов и микробиологи», Межрегиональная ассоциация по клинической микробиологии и антимикробная химиотерапия ( МАКМЫ ), общественная организация «Российский Сепсис Форум » // Вестник анестезиология и реаниматологии. - 2020.– Т. 17 , № 1. - С. 5 2 -8 3. DOI: 10.2129 2/2 07 8-5 65 8-2 02 0-17-1 -5 2-8 3.","и др. микроорганизмами. еаниматологи», Сепсис реаниматологии. - , - 5 -8 DOI: 2/2 0-17-1","Белобородов В. , Гусаров В. , Дехнич А. В. 2-8","Диагностика и антимикробная терапия инфекций, вызванных полирезистентными Методические рекомендации Российская некоммерческая общественная организация «анестезиолый Ассоциация Межрегиональная общественная организация «Альянс клинических химиотерапевтов и микробиологи», Межрегиональная ассоциация по клинической микробиологии и антимикробная химиотерапия ( МАКМЫ ), общественная организация «Российский Форум » // анестезиология и 17 8-5 65 8-2 02 -5",в-р Вестник 3.,10.2129,2020.–,№ 1. 2 07,-,Б. Г. С.,Т. 3.
14,"Белобородов В.Б., Гусаров В.Г., Дехнич А.В., Замятин М.Н., Зубарева Н.А., Зырянов С.К., Камышова Д.А., Климко Н.Н., Козлов Р.С., Кулабухов В.В., Полушин Ю.С., Руднов В.А., Сидоренко С.В., Шлык И.В., Эдельштейн М.В., Яковлев С.В. Диагностика и антимикробная терапия инфекций, вызванных полирезистентными микроорганизмами. Методические рекомендации // Вестник анестезиологии и реаниматологии. – 2020. – Т. 17, № 1. – С. 52–83. DOI: 10.21292/2078-5658-2020-17-1-52-83.",микроорганизмами. // – – – С. DOI:,"Белобородов В.Б., Гусаров В.Г., Дехнич А.В., Замятин М.Н., Зубарева Н.А., Зырянов С.К., Камышова Д.А., Климко Н.Н., Козлов Р.С., Кулабухов В.В., Полушин Ю.С., Руднов В.А., Сидоренко С.В., Шлык И.В., Эдельштейн М.В., Яковлев С.В.","Диагностика и антимикробная терапия инфекций, вызванных полирезистентными Методические рекомендации анестезиологии и",Вестник реаниматологии. 52–83.,2020. 1.,"Т. 17,",№,-,-,10.21292/2078-5658-2020-17-1-52-83.
15,"Белобородова Н. В., Зуев Е. В., Замятин М. Н. и др. Этиотропная терапия COVID-19: критический анализ и перспективы // Общая реаниматология. – 2020. – № 16 (6). – С. 65–90. doi: 110.15360/1813-9779-2020-4-0-1.",и др. // – – (6). – С. doi:,"Белобородова Н. В., Зуев Е. В., Замятин М. Н.",Этиотропная терапия COVID-19: критический анализ и перспективы,Общая реаниматология. 65–90.,2020.,-,№ 16,-,-,110.15360/1813-9779-2020-4-0-1.
16,Белоцерковская Ю. Г. Возможности клинического применения современных небулайзеров // Медицинский совет. – 2020. – Т. 17. – С. 50–55. doi. org/10.21518/2079-701X-2020-17-50-55.,// – – Т. – С.,Белоцерковская Ю. Г.,Возможности клинического применения современных небулайзеров,Медицинский совет. 17. 50–55.,2020.,-,-,-,doi.,org/10.21518/2079-701X-2020-17-50-55.
